PrimaryKey,moveFront_SelectionFactor,moveBackward_SelectionFactor,moveLeft_SelectionFactor,moveRight_SelectionFactor,skill0_SelectionFactor,skill1_SelectionFactor,skill2_SelectionFactor,skill3_SelectionFactor,skillExt0_SelectionFactor,skillExt1_SelectionFactor,skillExt2_SelectionFactor,skillExt3_SelectionFactor
int,int,int,int,int,int,int,int,int,int,int,int,int
51577088,0,2,2,2,2,0,2,2,0,0,0,0
51577089,0,1,2,2,0,2,0,2,0,0,0,0
51577090,0,1,2,2,0,0,2,0,0,0,0,0
51577091,0,1,2,2,2,0,0,0,0,0,0,0
51577092,0,0,2,2,0,0,0,0,0,0,0,0
51577093,0,1,2,2,0,2,0,2,0,0,0,0
51577094,0,0,2,2,0,0,2,0,0,0,0,0
51577095,0,1,2,2,2,0,0,0,0,0,0,0
51577096,0,0,2,2,0,0,0,0,0,0,0,0
51577104,0,2,2,2,2,0,2,2,0,0,0,0
51577105,0,0,2,2,0,2,0,2,0,0,0,0
51577106,0,2,2,2,0,0,2,0,0,0,0,0
51577107,0,0,2,2,2,0,0,0,0,0,0,0
51577108,0,0,2,2,0,0,0,0,0,0,0,0
51577109,0,0,2,2,0,2,0,2,0,0,0,0
51577110,0,1,2,2,0,0,2,0,0,0,0,0
51577111,0,2,2,2,2,0,0,0,0,0,0,0
51577112,0,0,2,2,0,0,0,0,0,0,0,0
51577344,0,2,2,2,2,0,2,2,2,0,0,0
51577345,0,1,2,2,0,2,0,2,0,0,0,0
51577346,0,2,2,2,0,0,2,0,0,0,0,0
51577347,0,0,2,2,2,0,0,0,2,0,0,0
51577348,0,0,2,2,0,0,0,0,0,0,0,0
51577349,0,0,2,2,0,2,0,2,0,0,0,0
51577350,0,2,2,2,0,0,2,0,2,0,0,0
51577351,0,0,2,2,2,0,0,0,0,0,0,0
51577352,0,2,2,2,0,0,0,0,0,0,0,0
51577360,0,2,2,2,2,0,2,2,2,0,0,0
51577361,0,1,2,2,0,2,0,2,2,0,0,0
51577362,0,0,2,2,0,0,2,0,2,0,0,0
51577363,0,2,2,2,2,0,0,0,0,0,0,0
