idKey,type,desc,Korean,English (United States),Japanese
int,string,string,string,string,string
1964572929,text,,... 그런데 이제 어떻게 하지?,... 그런데 이제 어떻게 하지?,ところで、これからはどうすればいいんだ？
1964572930,text,,혹시 프라임한테서 연락은 없었나?,혹시 프라임한테서 연락은 없었나?,司令官から連絡はなっかたか？
1964572931,text,,아니. 아직 없어. 기다려볼까?,아니. 아직 없어. 기다려볼까?,いや、まだないさ。待ってみようか。
1964572932,text,,글쎄. 기다려볼까 싶기도 하고... 나서야 하나 싶기도 하고...,글쎄. 기다려볼까 싶기도 하고... 나서야 하나 싶기도 하고...,まぁ、待っているのもあれだしな…。
1964572933,text,,기다려서는 아무 것도 안 될거야.,기다려서는 아무 것도 안 될거야.,待っているだけじゃ何も解決できないぞ。
1964572934,text,,누구야!?,누구야!?,誰だ？
1964572935,text,,못보던 친구인데?,못보던 친구인데?,ん？見慣れてない顔だな？
1964572936,text,,디셉티콘인가!?... 쏴버려야겠군!,디셉티콘인가!?... 쏴버려야겠군!,デストロンの奴か…⁈　打ち倒す!
1964572937,text,,이봐! 진정해!,이봐! 진정해!,おい!　落ち付け!
1964572938,text,,디셉티콘 아니야.,디셉티콘 아니야.,私はデストロンではない。
1964572939,text,,나는 그레이 샤드다. 옵티머스 프라임과는 구면이지.,나는 그레이 샤드다. 옵티머스 프라임과는 구면이지.,私の名前はグレイシャードだ。コンボイ司令官とは昔から知っている仲間だ。
1964572940,text,,뭐라고? 프라임과?,뭐라고? 프라임과?,なんだと？司令官と?
1964572941,text,,그래. 벡터 시그마에 관한 것도 내가 프라임에게 제보한거야.,그래. 벡터 시그마에 관한 것도 내가 프라임에게 제보한거야.,そう、ベクターシグマのことも私が司令官に教えてあげたのさ。
1964572942,text,,"오오... 즉, 우리편이라는 이야기군?","오오... 즉, 우리편이라는 이야기군?",おお、つまり俺たちの味方ってことか？
1964572943,text,,그렇게 생각해주면 나야 고맙지.,그렇게 생각해주면 나야 고맙지.,そう思ってくれるとありがたい。
1964572944,text,,"그런데 여러분들. 아까도 이야기 했지만은, 기다리기만 해서는 답이 없어.","그런데 여러분들. 아까도 이야기 했지만은, 기다리기만 해서는 답이 없어.",ところでみんな、先も話したもんだが待っているだけじゃだめだぞ。
1964572945,text,,동료들을 찾아보는게 어때? 이렇게 소소하게 모여있어봤자 위험한 건 다를게 없다고.,동료들을 찾아보는게 어때? 이렇게 소소하게 모여있어봤자 위험한 건 다를게 없다고.,仲間たちを探すのはどうだ？こんなに集まっていても危険から逃れるわけでもないしさ。
1964572946,text,,그래. 생각해보니 그게 좋겠어.,그래. 생각해보니 그게 좋겠어.,考えてみりゃそれがいいかもな。
1964572947,text,,좋아. 그럼 각자 동료들을 찾아서 흩어진다.,좋아. 그럼 각자 동료들을 찾아서 흩어진다.,よし。じゃ、みんな手分けして仲間を探すぞ！
1964572948,text,,모두 통신 주파수를 맞춰. 돌발상황이 생기면 즉시 연락하자고.,모두 통신 주파수를 맞춰. 돌발상황이 생기면 즉시 연락하자고.,みんな周波数を合わせるんだ。何かあったらすぐ連絡しようぜ。
1964572949,text,,좋아!,좋아!,いいぜ！
1964572950,text,,그레이 샤드? 너는 어떻게 할거지?,그레이 샤드? 너는 어떻게 할거지?,グレイシャード？お前はどうするんだ？
1964572951,text,,나는 일단 주변을 좀 돌아봐야겠어.,나는 일단 주변을 좀 돌아봐야겠어.,私は先ずこの周りを探してみる。
1964572952,text,,혹시나 도움될만한게 있으면 당신들에게 연락할게.,혹시나 도움될만한게 있으면 당신들에게 연락할게.,もし何かあったらあんたたちに連絡するさ。
1964572953,text,,그거 고마운걸!,그거 고마운걸!,それは助かるな!
1964572954,text,,좋아. 탐색작전 개시다!,좋아. 탐색작전 개시다!,よーし、作戦開始だ!
1964573185,text,,... 재즈?,... 재즈?,…マイスター?
1964573186,text,,앗! 깜짝이야!,앗! 깜짝이야!,うわっ、びっくりした!
1964573187,text,,범블비!?,범블비!?,バンブル⁉
1964573188,text,,재즈!!,재즈!!,マイスター!!
1964573189,text,,당신을 여기서 만나게 되다니!!,당신을 여기서 만나게 되다니!!,あなたをここで会えるとは!!
1964573190,text,,다친덴 없어? 무사한거지?,다친덴 없어? 무사한거지?,ケガはないか?無事だったな?
1964573191,text,,당신은?,당신은?,あなたは?
1964573192,text,,나도 괜찮아!,나도 괜찮아!,俺も平気さ!
1964573193,text,,안그래도 지금 동료들을 찾고 있던 중이었어!,안그래도 지금 동료들을 찾고 있던 중이었어!,ちょうど今仲間を探しているどころだったぜ!
1964573194,text,,내게 좋은 소식이 있어.,내게 좋은 소식이 있어.,良い知らせがあるんだ。
